#,Section-ID,Tag,Text,SEO-Status
1,#hero,H1,Digitales Workwear Management für Bau & Handwerk.,✅ Einziger H1 – korrekt
2,#video,H2,Digitale Beschaffung von Arbeitskleidung: Schluss mit dem Zettel-Chaos.,✅
3,#problem,H2,Die Kaskade der Ineffizienz,✅
4,#problem,H3,Kosten & Systeme,✅
5,#problem,H4,Fehlende ERP-Integration,✅
6,#problem,H4,Versteckte Prozesskosten,✅
7,#problem,H4,Starre Lieferketten,✅
8,#problem,H4,Mangelnde Skalierbarkeit,✅
9,#problem,H3,Prozesse & Personal,✅
10,#problem,H4,Hoher manueller Aufwand,✅
11,#problem,H4,Aufwendige Personalwechsel,✅
12,#problem,H4,Intransparente Verbräuche,✅
13,#problem,H4,Komplexe Anforderungen,✅
14,#problem,H3,Kontrolle & Sicherheit,✅
15,#problem,H4,Lückenhafte Historie,✅
16,#problem,H4,Umgehung von Freigaben,✅
17,#problem,H4,PSA-Fehlbestellungen,✅
18,#problem,H4,Erhöhtes Ausfallrisiko,✅
19,#potentiale,H2,Vom Chaos zum System.,✅
20,#potentiale,H3,Prozesse optimieren,⚠️ Sehr generisch – Keyword-Potenzial verschenkt
21,#potentiale,H3,Kosten reduzieren,⚠️ Sehr generisch
22,#potentiale,H3,Transparenz schaffen,⚠️ Sehr generisch
23,#potentiale,H3,Skalierbarkeit ermöglichen,⚠️ Sehr generisch
24,#potentiale,H3,Bereit?,❌ Kein SEO-Wert – eher p oder span
25,#loesung,H2,In 3 Schritten zum Ziel,✅
26,#loesung,H3,Analyse,⚠️ Zu kurz – z. B. „Analyse Ihrer Workwear-Prozesse"
27,#loesung,H3,Standardisierung,⚠️ Zu kurz
28,#loesung,H3,Digitalisierung,⚠️ Zu kurz
29,#onboarding,H2,Der Pöppel Onboarding-Prozess,✅
30,#onboarding,H3,Kickoff & Analyse,✅
31,#onboarding,H3,Konzept & Budget,✅
32,#onboarding,H3,Anprobe Event,✅
33,#onboarding,H3,Go-Live System,✅
34,#onboarding,H3,Betreuung & Optimierung,✅
35,#cta-beratung,H2,Bereit für den nächsten Schritt?,⚠️ Kein Keyword – rein Call-to-Action
36,#partner,H2,Partner statt Plattform,✅ Starke Positionierung
37,#partner,H3,Wir kennen Ihre Welt,✅
38,#partner,H3,Starkes Netzwerk,✅
39,#partner,H3,Persönlicher Service,✅
40,#marken,H2,Qualität der wir vertrauen,⚠️ Kein Keyword – z. B. „Workwear-Marken unseres Sortiments"
41,#testimonials,H2,Was unsere Partner sagen,✅
42,#modular,H2,Für jeden die passende Lösung,✅
43,#modular,H3,Basis-Setup,✅
44,#modular,H4,Erweitern Sie Ihr Paket,⚠️ Eher p – kein echter Heading-Inhalt
45,#modular,H4,Volle Kostenkontrolle,✅
46,#modular,H4,Nahtlose Systemintegration,✅
47,#modular,H4,Mitarbeiter App,✅
48,#modular,H4,Intelligente Standortverwaltung,✅
49,#modular,H4,Personengenaue Vorkommissionierung,✅
50,#modular,H4,Service Plus & Nähe vor Ort,✅
51,#modular,H4,Maßgeschneiderte Schnittstellen,✅
52,#modular,H4,Clevere Lagerkonzepte,✅
53,#modular,H4,Corporate Design & Veredelung,✅
54,#modular,H4,Ihre Wunschfunktionen,⚠️ Eher p – kein semantischer Heading-Inhalt
55,#modular,H3,Fast geschafft!,❌ Formular-Step – sollte p sein
56,#modular,H3,Wann erreichen wir Sie am besten?,❌ Formular-Step – sollte p sein
57,#modular,H3,Vielen Dank für Ihre Anfrage!,❌ Formular-Step – sollte p sein
58,#usps,H2,8 Gründe für Pöppel,⚠️ Besser: „8 Gründe für Pöppel Workwear Management"
59,#usps,H3,Prozessoptimierung,⚠️ Zu kurz
60,#usps,H3,Kostenstellen-Verwaltung,✅
61,#usps,H3,Skalierbarkeit,⚠️ Zu kurz
62,#usps,H3,OCI Punchout,✅ Gutes technisches Keyword
63,#usps,H3,Individuelle API,✅
64,#usps,H3,Kurze Lieferzeiten,✅
65,#usps,H3,Alles aus einer Hand,✅
66,#usps,H3,Vorkommissionierung,✅
67,#cta-potential,H2,Ungenutzte Potentiale sichtbar machen,✅
68,#cta-whitepaper,H2,Digitalisierung von Workwear-Management,✅ Starkes Keyword
69,#gewinn,H2,Ihr Gewinn mit System,⚠️ Schwaches Keyword
70,#gewinn,H3,Maßgeschneiderte Lösung,✅
71,#gewinn,H3,Volle Potentialausschöpfung,⚠️ Kein Suchbegriff
72,#gewinn,H3,Planbarkeit & Flexibilität,✅
73,#team,H2,Wir sind für Sie da,⚠️ Kein Keyword – z. B. „Ihr Workwear-Team in Memmingen"
74,#team,H3,Semra Baran,⚠️ Personenname – semantisch OK / SEO-neutral
75,#team,H3,Sylvia Sonnenmoser,⚠️ Personenname – semantisch OK / SEO-neutral
76,#team,H3,Andreas Bodenmiller,⚠️ Personenname – semantisch OK / SEO-neutral
77,#team,H3,Daniel Bodenmiller,⚠️ Personenname – semantisch OK / SEO-neutral
78,#team,H3,Florian Rakautz,⚠️ Personenname – semantisch OK / SEO-neutral
79,#team,H3,Sven Müllers,⚠️ Personenname – semantisch OK / SEO-neutral
80,#cta-beratung-2,H2,Lassen Sie uns sprechen,⚠️ Kein Keyword – rein CTA
81,#faq,H2,Häufig gestellte Fragen,✅
82,#kontakt,H2,Bereit für Workwear Management mit System?,✅
